Key,提示词,音频1,音频2,音频3,音频……,,
advisor_sample_voice_type,顾问声音样本(被选中),,,,,,、
advisor_notification_alien_empire_communication_01,与外星帝国建立通讯,,,,,,
advisor_notification_alien_federation_formed,异国间成立了联邦,,,,,,
advisor_notification_alien_spaceport_engaged,与外星恒星基地交火,,,,,,
advisor_notification_alien_vessel_encountered,遭遇外星舰船,,,,,,
advisor_notification_building_ruined,建筑被摧毁,,,,,,
advisor_notification_colonization_progress,殖民开始,,,,,,
advisor_notification_colony_established,殖民完成,,,,,,
advisor_notification_colony_ship_destroyed,殖民船被摧毁,,,,,,
advisor_notification_colony_ship_under_attack,殖民船正在被攻击,,,,,,
advisor_notification_construction_complete,工程建设完毕,,,,,,
advisor_notification_construction_ship_destroyed,工程船被摧毁,,,,,,
advisor_notification_construction_ship_under_attack,工程船正在被攻击,,,,,,
advisor_notification_debris_analysed,残骸分析完毕,,,,,,
advisor_notification_discovery_detected,发现异常,,,,,,
advisor_notification_enemy_declared_war,被敌方宣战,,,,,,
advisor_notification_enemy_invasion_defeated,成功抵御敌方入侵,,,,,,
advisor_notification_enemy_troops_landing,敌方陆军正在登陆,,,,,,
advisor_notification_evade_hostile_fleet,规避地方舰队,,,,,,
advisor_notification_federation_formed,联邦建立,,,,,,
advisor_notification_fleet_destroyed,舰队被毁,,,,,,
advisor_notification_fleet_detected,发现舰队(与我方单位同星系),,,,,,
advisor_notification_generic_war_declare,异国间宣战,,,,,,
advisor_notification_hostile_fleet_detected,发现敌方舰队,,,,,,
advisor_notification_hostile_fleet_engaged,与敌方舰队交火,,,,,,
advisor_notification_hostile_station_engaged,与敌方空间站交火,,,,,,
advisor_notification_incoming_transmission,收到外星文明通讯(贸易提议等),,,,,,
advisor_notification_invasion_enemy_won,敌方陆军入侵成功,,,,,,
advisor_notification_invasion_failed,陆军入侵失败,,,,,,
advisor_notification_invasion_progress,陆军正在入侵,,,,,,
advisor_notification_invasion_success,陆军入侵成功,,,,,,
advisor_notification_mining_station_lost,采集站被摧毁,,,,,,
advisor_notification_observation_post_lost,观测站被摧毁,,,,,,
advisor_notification_planet_in_revolt,行星正在发生叛乱,,,,,,
advisor_notification_player_declare_war,玩家宣战,,,,,,
advisor_notification_pre_sapient_uplifted,未开化物种提升完成,,,,,,
advisor_notification_primitive_enlighted,前超光文明启蒙完成,,,,,,
advisor_notification_research_complete,研究完成,,,,,,
advisor_notification_research_station_lost,研究站被摧毁,,,,,,
advisor_notification_science_ship_destroyed,科研船被摧毁,,,,,,
advisor_notification_science_ship_under_attack,科研船正在被攻击,,,,,,
advisor_notification_ships_upgraded,舰队升级完毕,,,,,,
advisor_notification_situation_log,消息日志更新,,,,,,
advisor_notification_spaceborne_encounter,遭遇太空生物,,,,,,
advisor_notification_spaceport_lost,恒星基地被摧毁,,,,,,
advisor_notification_spaceport_under_attack,恒星基地正在被攻击,,,,,,
advisor_notification_special_project_complete,特殊项目研究完毕,,,,,,
advisor_notification_species_modified,物种修饰完毕,,,,,,
advisor_notification_station_under_attack,空间站正在被攻击,,,,,,
advisor_notification_system_survey_complete,星系调查完毕,,,,,,
advisor_notification_tile_blocker_clear,行星障碍清理完毕,,,,,,
advisor_notification_unidentified_object,发现不明物体,,,,,,
advisor_notification_frontier_outpost_lost,前哨站被毁(旧版本),,,,,,
advisor_notification_military_station_lost,防御站被摧毁(旧版本),,,,,,
advisor_notification_wormhole_station_lost,虫洞站被摧毁(旧版本),,,,,,
advisor_tutorial_legendary_leader,有传奇领袖可招募,,,,,,
advisor_tutorial_agenda_available,议程列表添加新议程,,,,,,
advisor_tutorial_agenda_ready,议程就绪,,,,,,
advisor_tutorial_planetary_governor,行星总督,,,,,,
